#name, A, B
EPI_ISL_31172|183156|A/Illinois/04/2009|C1|2009-05-23, 1.0, 0.0
NODE_0000262, 0.9999999998232133, 1.7678669685483194e-10
EPI_ISL_61603|214698|A/Wisconsin/629-D02013/2009||2009-05-30, 1.0, 0.0
NODE_0000263, 0.9999999999312813, 6.871865368635735e-11
EPI_ISL_89966|316699|A/Wisconsin/629-D00889/2009|P0|2009-06-15, 1.0, 0.0
NODE_0000264, 0.9999999999915483, 8.451786791895274e-12
EPI_ISL_76051|266666|A/Boston/132/2009|P0|2009-06-19, 0.9999999999999999, 0.0
NODE_0000269, 0.9999999999951065, 4.893577755997475e-12
EPI_ISL_65018|227785|A/Oregon/13/2009|C1|2009-06-18, 1.0, 0.0
NODE_0000270, 0.9999999999779533, 2.2046682793592965e-11
EPI_ISL_76039|266570|A/Boston/118/2009|P0|2009-06-20, 0.9999999999999999, 0.0
NODE_0000276, 0.9999999999779431, 2.20569716970907e-11
EPI_ISL_60826|211491|A/Texas/47/2009|C1|2009-06-26, 1.0, 0.0
NODE_0000280, 0.9999999997242037, 2.757962016866717e-10
EPI_ISL_62547|218159|A/New_York/4691/2009||2009-06-30, 0.9999999999999999, 0.0
NODE_0000281, 0.9999908171409834, 9.182859016723252e-06
JX042528|A/swine/Minnestoa/A01076188/2010|H1N1|USA|01/24/2010, 0.0, 1.0
EPI_ISL_35004|194141|A/Florida/12/2009|ORIGINAL|2009-08-08, 1.0, 0.0
NODE_0000168, 0.9999998617039623, 1.382960376806813e-07
NODE_0000810, 0.9999999999850876, 1.4912509022064178e-11
EPI_ISL_63938|224032|A/Houston/1H/2009|harvest-Rh1|2009-05-13, 1.0, 0.0
NODE_0000820, 0.999999706271664, 2.9372833587690443e-07
EPI_ISL_31196|189187|A/Texas/30/2009|C1|2009-05-05, 1.0, 0.0
EPI_ISL_31577|191975|A/Texas/29/2009|C1|2009-05-02, 0.9999999999999999, 0.0
NODE_0000811, 0.9999997209896997, 2.7901030028310524e-07
EPI_ISL_31200|221181|A/Texas/35/2009|C2|2009-05-08, 1.0, 0.0
NODE_0000099, 0.9999999997620427, 2.379573870592968e-10
EPI_ISL_63964|224248|A/Brownsville/27OS/2009||2009-05-20, 1.0, 0.0
NODE_0000100, 0.9999999999977957, 2.2043283047554395e-12
EPI_ISL_63958|224200|A/Houston/20OS/2009||2009-05-23, 0.9999999999999999, 0.0
EPI_ISL_63981|224421|A/Houston/20H/2009|harvest-Rh1|2009-05-23, 0.9999999999999999, 0.0
NODE_0000162, 0.9999999850647048, 1.4935295013118955e-08
EPI_ISL_29950|178363|A/Texas/07/2009|C1|2009-04-25, 0.9999999999999999, 0.0
NODE_0000163, 0.9999999719318212, 2.8068178805475123e-08
NODE_0000821, 0.9999999978910641, 2.1089359088844764e-09
EPI_ISL_31572|184362|A/Texas/36/2009|C1|2009-04-29, 1.0, 0.0
NODE_0000096, 0.99999999998674, 1.3259909910069377e-11
EPI_ISL_63967|224272|A/Brownsville/31OS/2009||2009-05-22, 1.0, 0.0
EPI_ISL_63968|224280|A/Brownsville/31H/2009|harvest-Rh1|2009-05-22, 1.0, 0.0
NODE_0000101, 0.9999999987925448, 1.2074552349136283e-09
EPI_ISL_30188|179530|A/Minnesota/03/2009|C1|2009-04-01, 1.0, 0.0
NODE_0000103, 0.9999999998928512, 1.0714888333588375e-10
EPI_ISL_29957|184325|A/Minnesota/02/2009|C1|2009-04-27, 1.0, 0.0
NODE_0000105, 0.9999999999855234, 1.4476590548439384e-11
NODE_0000106, 0.9999999999993215, 6.785631896536406e-13
EPI_ISL_63952|224152|A/Houston/14OS/2009||2009-05-01, 1.0, 0.0
EPI_ISL_63953|224160|A/Houston/14H/2009|harvest-Rh1|2009-05-01, 1.0, 0.0
NODE_0000107, 0.9999999999796092, 2.0390861985020137e-11
EPI_ISL_30709|181791|A/Texas/28/2009|C1|2009-04-29, 0.9999999999999999, 0.0
EPI_ISL_31199|183271|A/Texas/34/2009|C1|2009-05-12, 1.0, 0.0
NODE_0000199, 0.9999998232596629, 1.767403371547568e-07
NODE_0000745, 0.9999999999999797, 2.0312032032798206e-14
EPI_ISL_87598|308237|A/San_Diego/WRAIR1644P/2009|MDCK2|2009-06-03, 1.0, 0.0
EPI_ISL_87605|308293|A/San_Diego/WRAIR1654P/2009|MDCK2|2009-06-15, 1.0, 0.0
EPI_ISL_32020|221083|A/Illinois/03/2009|C2|2009-04-27, 1.0, 0.0
EPI_ISL_61538|214178|A/Wisconsin/629-D00244/2009|MDCK1|2009-05-02, 1.0, 0.0
NODE_0000164, 0.9999999787952123, 2.1204787768594882e-08
EPI_ISL_60811|211459|A/Mississippi/01/2009|C1|2009-05-13, 1.0, 0.0
NODE_0000166, 0.9999999976092491, 2.3907510017381506e-09
NODE_0000753, 0.9999981495004514, 1.850499548566738e-06
EPI_ISL_31188|183209|A/Michigan/05/2009|C1|2009-05-05, 0.9999999999999999, 0.0
NODE_0000754, 0.9999997171868974, 2.82813102582837e-07
EPI_ISL_60801|211432|A/Indiana/09/2009|E2|2009-04-22, 0.9999999999999999, 0.0
NODE_0000057, 0.9999999998127882, 1.8721183376517741e-10
EPI_ISL_60810|211455|A/Michigan/03/2009|C1|2009-04-27, 1.0, 0.0
EPI_ISL_31555|184307|A/Michigan/04/2009|C1|2009-04-24, 1.0, 0.0
NODE_0000196, 0.9999999970956689, 2.904331069620687e-09
NODE_0000772, 0.9999994737963372, 5.262036627593736e-07
NODE_0000092, 0.9999999637588094, 3.6241190532300605e-08
EPI_ISL_30139|179268|A/Kansas/03/2009|E2|2009-04-24, 1.0, 0.0
NODE_0000094, 0.9999999295139091, 7.048609097592804e-08
NODE_0000777, 0.9999999996494157, 3.5058420413108054e-10
EPI_ISL_30100|179124|A/Florida/04/2009|C1|2009-04-27, 0.9999999999999999, 0.0
EPI_ISL_31164|194140|A/Florida/08/2009|C1|2009-04-29, 1.0, 0.0
NODE_0000071, 0.9999999996747825, 3.2521768920247483e-10
EPI_ISL_61280|212617|A/New_York/3323/2009||2009-05-06, 1.0, 0.0
NODE_0000072, 0.99999999991526, 8.474010787611242e-11
EPI_ISL_61294|212729|A/New_York/3574/2009||2009-05-17, 1.0, 0.0
NODE_0000073, 0.9999999999995096, 4.903898806804224e-13
EPI_ISL_61289|212689|A/New_York/3455/2009||2009-05-11, 1.0, 0.0
EPI_ISL_61288|212681|A/New_York/3454/2009||2009-05-11, 1.0, 0.0
NODE_0000779, 0.9999999976676097, 2.332390186500814e-09
EPI_ISL_62652|218786|A/Wisconsin/629-D01154/2009|P0|2009-05-13, 0.9999999999999999, 0.0
EPI_ISL_61583|214538|A/Wisconsin/629-D01606/2009|MDCK1|2009-05-03, 0.9999999999999999, 0.0
NODE_0000077, 0.999999999817755, 1.8224510764803763e-10
EPI_ISL_61613|214778|A/Wisconsin/629-D02312/2009|MDCK1|2009-05-02, 1.0, 0.0
NODE_0000078, 0.9999999999534382, 4.656188014451697e-11
NODE_0000080, 0.9999999999995103, 4.897373383211663e-13
EPI_ISL_61554|214306|A/Wisconsin/629-D00790/2009|MDCK1|2009-05-04, 1.0, 0.0
EPI_ISL_61569|214426|A/Wisconsin/629-D01226/2009|MDCK1|2009-05-04, 1.0, 0.0
NODE_0000083, 0.999999999919069, 8.093113446341462e-11
EPI_ISL_61619|214826|A/Wisconsin/629-D02452/2009|MDCK1|2009-05-08, 1.0, 0.0
NODE_0000091, 0.9999999997346867, 2.6531329634112905e-10
EPI_ISL_62643|218714|A/Wisconsin/629-D00725/2009|P0|2009-06-04, 1.0, 0.0
EPI_ISL_61550|214274|A/Wisconsin/629-D00722/2009|MDCK1|2009-05-19, 0.9999999999999999, 0.0
NODE_0000286, 0.9999999994154709, 5.845291416744461e-10
NODE_0000770, 0.9999995391648329, 4.6083516714196784e-07
EPI_ISL_32630|186641|A/Brawley/40081/2009|MDCK2|2009-04-22, 1.0, 0.0
NODE_0000771, 0.9999999999821193, 1.7880617731152115e-11
EPI_ISL_30495|180592|A/California/11/2009|E2|2009-04-24, 0.9999999999999999, 0.0
EPI_ISL_30125|179223|A/California/12/2009|C1|2009-04-22, 0.9999999999999999, 0.0
NODE_0000310, 0.9999999987573713, 1.2426286621622697e-09
NODE_0000784, 0.9999999999893272, 1.0672778477949606e-11
EPI_ISL_33570|189095|A/California/27/2009|C2|2009-05-01, 1.0, 0.0
EPI_ISL_61793|215210|A/Craven/WR0019/2009|MDCK2|2009-05-05, 1.0, 0.0
NODE_0000795, 0.9999993886110328, 6.11388967226684e-07
EPI_ISL_61790|215198|A/Cherry_Point/WR1355/2009|MDCK2|2009-04-28, 1.0, 0.0
EPI_ISL_61788|215182|A/Cherry_Point/WR0101/2009|MDCK2|2009-05-02, 0.9999999999999999, 0.0
NODE_0000313, 0.9999999986195717, 1.3804284443535058e-09
NODE_0000785, 0.9999997796589726, 2.2034102743556948e-07
EPI_ISL_61786|215166|A/Cherry_Point/WR0080/2009|MDCK2|2009-04-30, 1.0, 0.0
NODE_0000165, 0.9999999998243055, 1.7569452208391965e-10
EPI_ISL_61794|215218|A/Craven/WR0093/2009|MDCK2|2009-05-04, 1.0, 0.0
EPI_ISL_61789|215190|A/Cherry_Point/WR0102/2009|MDCK2|2009-05-02, 1.0, 0.0
NODE_0000317, 0.9999999983630997, 1.6369003127206356e-09
NODE_0000789, 0.9999999999931154, 6.884587533162512e-12
EPI_ISL_31576|221156|A/Pennsylvania/08/2009|C1|2009-05-02, 1.0, 0.0
EPI_ISL_29967|185403|A/Nebraska/02/2009|C1|2009-04-01, 1.0, 0.0
NODE_0000171, 0.9999999998545892, 1.454107803994444e-10
NODE_0000172, 0.9999999999652103, 3.478972026210258e-11
EPI_ISL_30707|181785|A/South_Dakota/04/2009|C1|2009-05-05, 1.0, 0.0
NODE_0000173, 0.9999999999995104, 4.895361285364372e-13
EPI_ISL_30160|179330|A/Washington/11/2009|C1|2009-04-26, 1.0, 0.0
EPI_ISL_29968|178451|A/Colorado/03/2009|C1|2009-04-27, 1.0, 0.0
NODE_0000174, 0.999999999996528, 3.4719095487382713e-12
NODE_0000175, 0.9999999999995111, 4.890008444411853e-13
EPI_ISL_30499|180602|A/Idaho/02/2009|C2|2009-04-28, 1.0, 0.0
EPI_ISL_30497|180596|A/Colorado/04/2009|E2|2009-04-26, 1.0, 0.0
NODE_0000180, 0.9999999999995111, 4.890008444411853e-13
EPI_ISL_30193|179574|A/Wisconsin/09/2009|C1|2009-04-27, 1.0, 0.0
EPI_ISL_34546|221099|A/Maine/01/2009|C1|2009-04-27, 1.0, 0.0
NODE_0000193, 0.9999999621502091, 3.784979094306707e-08
EPI_ISL_29576|176499|A/California/06/2009|M1|2009-04-16, 1.0, 0.0
NODE_0000194, 0.999999996523358, 3.476642060420761e-09
EPI_ISL_30725|181831|A/Arizona/06/2009|C1|2009-04-28, 0.9999999999999999, 0.0
NODE_0000195, 0.9999999989443631, 1.0556369421611306e-09
NODE_0000799, 0.9999999996517023, 3.4829770669332204e-10
EPI_ISL_30729|181836|A/California/17/2009|E2|2009-04-25, 0.9999999999999999, 0.0
NODE_0000167, 0.9999999999779412, 2.2058887577488412e-11
EPI_ISL_80204|282975|A/San_Diego/WR1631P/2009|MDCK2|2009-04-30, 0.9999999999999999, 0.0
EPI_ISL_60788|211404|A/California/22/2009|C2|2009-05-04, 1.0, 0.0
NODE_0000198, 0.9999999997045348, 2.954653019497969e-10
NODE_0000805, 1.0, 5.0647101880936835e-20
EPI_ISL_80206|282987|A/San_Diego/WR1633P/2009|MDCK2|2009-05-01, 1.0, 0.0
EPI_ISL_32017|185392|A/California/20/2009|C1|2009-05-01, 1.0, 0.0
EPI_ISL_80212|283035|A/San_Diego/WR1641P/2009|MDCK2|2009-05-02, 1.0, 0.0
EPI_ISL_80207|282995|A/San_Diego/WR1634P/2009|MDCK2|2009-05-02, 1.0, 0.0
NODE_0000208, 0.9999999999626257, 3.737437674477229e-11
EPI_ISL_80209|283011|A/Brawley/WR1636P/2009|MDCK2|2009-04-29, 1.0, 0.0
NODE_0000213, 0.999999999910704, 8.929597830306507e-11
EPI_ISL_80202|282959|A/San_Diego/WR1629P/2009|MDCK2|2009-04-30, 0.9999999999999999, 0.0
NODE_0000244, 0.9999999945238545, 5.476145510977172e-09
EPI_ISL_80205|282980|A/San_Diego/WR1632P/2009|MDCK2|2009-05-02, 1.0, 0.0
NODE_0000181, 0.9999999996651464, 3.348535732564729e-10
EPI_ISL_29575|176493|A/California/05/2009|C1|2009-03-30, 1.0, 0.0
NODE_0000183, 0.9999999998772926, 1.2270742568068966e-10
EPI_ISL_29624|176634|A/California/10/2009|ORIGINAL|2009-04-08, 1.0, 0.0
NODE_0000184, 0.9999999996973391, 3.0266086000198857e-10
